# How are active users trending?,,,
# Start date: 20230215,,,
# End date: 20260215,,,
Nth day,30 days,7 days,1 day
406,15704,2783,395
407,15443,2268,433
408,14959,2147,387
409,14772,2212,393
410,14806,2450,558
411,15984,4423,2599
412,17277,6481,3268
413,18286,8255,3153
414,18787,9439,2597
415,18834,9993,1538
416,18723,10135,850
417,19040,10627,1473
418,20160,11071,3236
419,21776,11973,4562
420,23245,13104,5205
421,24290,14137,4784
422,24553,14739,2862
423,24505,15138,1627
424,24674,15466,2001
425,26081,16353,4433
426,27245,16087,4240
427,27818,15053,3850
428,28060,13830,3067
429,28048,13038,1710
430,27907,12450,595
431,27999,12086,845
432,28283,10690,1613
433,28652,9354,1467
434,28954,7972,1374
435,29195,6831,1136
436,29324,6193,685
437,29283,5992,279
438,29355,5848,627
439,29654,5658,1345
440,29887,5638,1444
441,29848,5697,1513
442,29478,5824,1337
443,29097,6066,1146
444,28726,6510,977
445,28666,6822,1157
446,29016,6875,1472
447,29229,6967,1462
448,29030,6852,1336
449,28127,6884,1359
450,26558,6795,906
451,24970,6532,589
452,24144,6194,601
453,24010,5788,936
454,23870,5391,966
455,22651,4949,722
456,21369,4337,621
457,20034,4032,490
458,18775,3846,325
459,18146,3675,380
460,18120,3387,564
461,18022,3055,527
462,17538,2840,460
463,17092,2679,414
464,16539,2540,309
465,16121,2448,215
466,15955,2355,263
467,15967,2142,304
468,15913,2056,421
469,15436,1983,382
470,14925,1946,375
471,14323,1986,364
472,13783,2030,270
473,13373,2024,254
474,13102,2140,454
475,12804,2252,558
476,12256,2306,481
477,11544,2365,465
478,10905,2344,377
479,10113,2292,214
480,9710,2316,283
481,9613,2355,470
482,9496,2292,479
483,9157,2265,444
484,8796,2318,505
485,8597,2360,427
486,8363,2433,296
487,8292,2516,402
488,8490,2693,667
489,8570,2744,555
490,8496,2798,522
491,8454,2752,468
492,8412,2721,415
493,8327,2670,234
494,8367,2652,384
495,8549,2581,542
496,8690,2554,511
497,8809,2537,485
498,8845,2518,458
499,8792,2433,338
500,8712,2416,199
501,8636,2333,278
502,8744,2255,428
503,8861,2206,453
504,8794,2080,327
505,8539,1889,199
506,8408,1814,254
507,8267,1841,211
508,8217,1861,305
509,8422,1930,523
510,8590,2037,560
511,8668,2177,487
512,8647,2396,509
513,8641,2528,409
514,8499,2556,236
515,8385,2548,281
516,8549,2576,526
517,8652,2557,547
518,8586,2562,512
519,8519,2522,482
520,8460,2497,403
521,8368,2469,235
522,8249,2469,290
523,8489,2486,552
524,8575,2487,559
525,8538,2476,537
526,8575,2514,533
527,8494,2502,395
528,8332,2501,233
529,8313,2531,290
530,8502,2560,536
531,8603,2527,501
532,8580,2466,453
533,8585,2394,469
534,8595,2349,347
535,8607,2334,243
536,8646,2334,312
537,8845,2335,504
538,9021,2395,520
539,9033,2482,565
540,9011,2521,508
541,9059,2667,516
542,8942,2714,291
543,8900,2759,364
544,9159,2856,643
545,9388,2907,609
546,9493,2977,678
547,9521,3015,592
548,9500,2964,496
549,9384,2982,339
550,9434,3024,408
551,9652,3068,676
552,9832,3077,598
553,9857,3003,583
554,9872,2984,566
555,9936,3035,558
556,9837,3072,370
557,9821,3128,429
558,10180,3236,780
559,10425,3345,722
560,10665,3529,826
561,10952,3799,926
562,11112,3900,741
563,11267,4156,722
564,11572,4506,884
565,12345,5045,1421
566,14395,7333,3583
567,17988,11195,6030
568,20150,13521,5422
569,20615,13970,1939
570,20560,13914,711
571,20839,14046,1473
572,21681,14406,2711
573,22343,13804,2583
574,22859,11791,2228
575,23178,9519,1604
576,23096,8818,881
577,22948,8605,279
578,22901,8091,544
579,23086,7022,998
580,23321,6039,1011
581,23424,5142,1008
582,23495,4594,871
583,23418,4307,513
584,23382,4341,322
585,23330,4339,512
586,23555,4294,930
587,23765,4234,964
588,23809,4212,984
589,23791,4305,962
590,23692,4329,538
591,23430,4348,382
592,23336,4414,614
593,23487,4549,1092
594,23633,4704,1132
595,23465,4791,1093
596,22515,4811,970
597,20395,4879,634
598,18088,4872,357
599,17526,4901,657
600,17754,4974,1194
601,17727,5058,1265
602,17144,5134,1239
603,16442,5156,1017
604,15498,5090,548
605,14771,5066,375
606,14639,5002,588
607,15060,5039,1165
608,15460,5112,1334
609,15579,5057,1228
610,15532,5110,1122
611,16053,6210,2021
612,16001,6478,919
613,16359,6901,1214
614,17334,7928,2727
615,18408,8933,2922
616,19152,9786,2775
617,19623,10333,2144
618,19639,9958,1225
619,19355,9712,502
620,19483,9546,881
621,20013,9148,1927
622,20554,8536,2107
623,20869,8019,1837
624,20872,7589,1491
625,20737,7366,909
626,20517,7402,525
627,20503,7324,846
628,21318,7965,2722
629,22070,8501,2901
630,22505,8869,2487
631,22985,9489,2589
632,23113,9956,1671
633,23133,10247,1034
634,23547,10688,1758
635,25105,12284,4842
636,27199,14585,6745
637,28852,16533,6962
638,29764,17569,5000
639,30381,18315,3524
640,30533,18517,1798
641,30669,19011,2614
642,31684,19288,4829
643,32560,18097,4857
644,33156,16414,4608
645,33252,15399,3521
646,33180,14705,2163
647,32880,14126,758
648,32799,13617,1048
649,33168,12085,1639
650,33207,10180,870
651,32891,7879,549
652,32476,5723,326
653,32171,4395,338
654,31849,4183,409
655,31794,3916,568
656,32009,3802,1451
657,32191,4250,1432
658,31965,4952,1548
659,31629,5727,1448
660,31324,6216,1171
661,30820,6363,630
662,30703,6574,882
663,30948,6869,1742
664,31102,7291,1919
665,30393,7437,1811
666,28718,7571,1580
667,26855,7886,1698
668,25442,8212,1244
669,24674,8449,1300
670,24642,8423,1742
671,24533,8216,1591
672,23656,8053,1547
673,22599,7856,1315
674,21478,7480,1050
675,20458,7223,845
676,19882,6968,890
677,20002,6407,952
678,19789,5675,529
679,19178,4811,390
680,19034,4203,521
681,18968,3802,521
682,19009,3450,390
683,19052,3128,456
684,19115,2745,472
685,19018,2557,291
686,18712,2534,375
687,18394,2556,547
688,17758,2332,225
689,17165,2040,28
690,16635,1675,22
691,16770,1929,723
692,16771,2299,717
693,16329,2603,759
694,15622,2658,640
695,15121,2952,615
696,14500,3256,457
697,13929,3684,609
698,13880,3909,986
699,13880,4217,1099
700,13540,4559,1187
701,13353,4989,1213
702,13116,5443,1275
703,12938,5838,1013
704,13097,6419,1402
705,14738,8322,3541
706,17978,11910,6351
707,20166,14401,6010
708,21292,15457,3822
709,21721,15598,2000
710,21772,15543,894
711,22039,15566,1475
712,22780,15027,2909
713,23205,12926,2313
714,23672,10633,2176
715,24022,9305,1506
716,24109,8688,898
717,24016,8432,364
718,24152,8025,612
719,24489,6895,1037
720,24777,6090,1095
721,24881,5263,1040
722,24890,4849,924
723,24781,4590,568
724,24665,4540,336
725,24601,4430,437
726,24735,4404,958
727,24829,4328,1017
728,24790,4291,965
729,24724,4250,899
730,24503,4184,477
731,24133,4121,260
732,23906,4192,525
733,23931,4352,1160
734,23866,4417,1084
735,22998,4532,1151
736,21114,4623,1028
737,18862,4723,653
738,17433,4840,459
739,16847,4953,692
740,16973,4992,1212
741,16959,5098,1188
742,16205,5126,1187
743,15601,5113,1008
744,14914,5101,621
745,14362,5044,373
746,14189,4950,542
747,14401,4808,1038
748,14644,4747,1122
749,14533,4630,1053
750,14439,4533,922
751,14301,4519,624
752,13956,4523,365
753,13929,4539,558
754,14235,4551,1024
755,14468,4502,1090
756,15363,5804,2745
757,15762,6525,2199
758,15702,6739,1121
759,15548,6827,578
760,15609,6948,860
761,16275,7491,2009
762,16785,7954,1970
763,16873,7365,1610
764,16905,6728,1099
765,16687,6456,563
766,16409,6320,321
767,16275,6052,322
768,16253,5058,440
769,16138,3968,434
770,15838,2977,428
771,15504,2414,442
772,15134,2286,393
773,14867,2373,441
774,14847,2652,648
775,15840,4417,2495
776,16908,6664,3536
777,17618,8173,3078
778,18070,9350,2687
779,18224,9907,1573
780,18127,10100,891
781,18427,10560,1536
782,19704,11425,3744
783,21184,12292,4731
784,22465,13396,5437
785,23540,14391,4807
786,23667,14860,2610
787,23564,15229,1689
788,23874,15590,2152
789,25073,16326,4570
790,25930,15975,4219
791,26217,14609,3421
792,26606,13403,3254
793,26727,13100,2295
794,26669,12733,987
795,26780,12325,921
796,27162,11187,2066
797,27450,9894,1693
798,27646,8893,1347
799,27706,7678,1116
800,27786,6799,840
801,27760,6397,335
802,27809,6260,715
803,28104,5842,1396
804,28368,5715,1515
805,28331,6030,1830
806,27975,6526,1816
807,27752,6801,1273
808,27441,7232,1170
809,27523,7761,1445
810,27811,8030,1737
811,27923,8019,1495
812,27658,7981,1571
813,26887,7510,1218
814,25406,7447,1128
815,23993,7139,678
816,23483,6583,639
817,23363,6064,1021
818,23267,5785,1072
819,22260,5168,747
820,21250,4760,699
821,20366,4331,548
822,19266,4102,364
823,18539,3922,400
824,18463,3657,646
825,18355,3238,514
826,17762,3015,455
827,17262,2789,439
828,16923,2612,326
829,16600,2496,215
830,16395,2365,248
831,16385,2115,315
832,16364,2088,460
833,15978,2076,451
834,15459,2000,364
835,14802,2024,349
836,13964,2020,199
